Aircraft History Prepared 12/30/2022 14:07:31 Local Time

Display:,Date/time from 11/23/2022 - 0600 UTC to 11/24/2022 - 0559 UTC.
,Classification Tower Count
,Classification TRACON Count
,Time in UTC
,Sorted by Callsign

Filters:,Classification Tower Count:  BPT

Callsign,Date,Time,Category,Type,Msg,Rules,Apt,Alt,Bcn,Scr1,Scr2,ADE,Psn,APO,Twr,Rdr,Area,Airspace,Entry,Exit,Hdg,Spd,RY,WC,TA,X,Y,Fnct,S1,S2,S3,F1,F2,X2,AA,CM
N759G,11/23/2022,18:40:37,GA,C25A,TRF,IFR,BPT,004,4502,,,D,1B,1,A,E,,t,BPT,CFO,123,159,???,S,41,69.73,-2.55,?,,,,17,0,11,,90:Initial departure count.
N759G,11/23/2022,22:20:24,GA,C25A,CST,IFR,BPT,001,4542,BPT,I12,A,3T,1,A,E,,t,IAH,BPT,119,108,???,S,41,69.01,-2.11,?,,,,17,0,11,,109:Coasted in airport capture area
N779G,11/23/2022,17:59:31,GA,P28A,CST,VFR,BPT,001,4755,BPT,,A,3T,1,C,K,,t,PE2,BPT,119,072,???,S,41,69.04,-2.14,?,V,V,,17,0,11,,109:Coasted in airport capture area
N779G,11/23/2022,18:08:05,GA,P28A,TRF,VFR,BPT,003,5351,EFD,,D,1B,1,C,K,,t,,,122,072,???,S,41,69.55,-2.44,?,V,V,,17,0,11,,90:Initial departure count.
N8204J,11/23/2022,21:36:48,GA,P28A,TRF,VFR,BPT,002,4603,OCH,,D,1J,1,C,K,,t,BPT,PN2,125,070,???,S,41,69.59,-2.47,?,V,V,,17,0,11,,90:Initial departure count.
N8204J,11/23/2022,23:45:47,GA,P28A,CST,VFR,BPT,001,4603,BPT,WX,A,3T,1,C,K,,t,PN2,BPT,121,057,???,S,41,69.05,-2.15,?,V,V,,17,0,11,,109:Coasted in airport capture area
N834UW,11/23/2022,18:33:31,GA,EC35,APT,VFR,BPT,025,4774,LCH,,E,1B,0,G,O,,t,BPT,BPT,075,106,,,41,64.69,-4.22,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
N882AC,11/23/2022,19:39:26,GA,E35L,CST,IFR,BPT,001,5237,BPT,W12,A,3T,1,A,E,,t,HOU,BPT,120,136,???,,41,69.09,-2.18,?,,,,17,0,11,,109:Coasted in airport capture area
N8CC,11/23/2022,17:04:58,GA,C210,TRF,VFR,BPT,003,5330,SBI,,D,3T,1,C,K,,t,,,122,098,???,S,41,69.86,-2.62,?,V,V,,17,0,11,,90:Initial departure count.
N8CC,11/23/2022,19:49:36,GA,C210,CST,VFR,BPT,001,7442,BPT,I12,A,3T,1,C,K,,t,PE2,BPT,120,080,???,S,41,69.01,-2.12,?,V,V,,17,0,11,,109:Coasted in airport capture area
